区分け,初期位置,x,y,initial-position,named-position,position
A,1,239,1670,1,A-1,1p
A,2,239,1672,2,A-2,1p
A,3,239,1674,3,A-3,1p
A,4,239,1676,4,A-4,1p
A,5,239,1678,5,A-5,1p
A,6,239,1680,6,A-6,1p
A,7,239,1682,7,A-7,1p
A,8,239,1684,8,A-8,1p
A,9,239,1686,9,A-9,1p
A,10,239,1688,10,A-10,1p
A,11,239,1690,11,A-11,1p
B,12,239,1692,12,B-1,1p
B,12,239,1693,12,B-1,1p
B,13,239,1695,13,B-2,1p
B,14,239,1697,14,B-3,1p
B,15,239,1699,15,B-4,1p
B,16,239,1701,16,B-5,1p
B,17,239,1703,17,B-6,1p
B,18,239,1705,18,B-7,1p
B,19,239,1707,19,B-8,1p
B,20,239,1709,20,B-9,1p
B,21,239,1711,21,B-10,1p
B,22,239,1713,22,B-11,1p
B,23,239,1715,23,B-12,1p
B,24,239,1717,24,B-13,1p
B,25,239,1719,25,B-14,1p
B,26,239,1721,26,B-15,1p
C,27,239,1724,27,C-1,1p
C,28,239,1726,28,C-2,1p
C,29,239,1728,29,C-3,1p
C,30,239,1730,30,C-4,1p
C,31,239,1732,31,C-5,1p
C,32,239,1734,32,C-6,1p
C,33,239,1736,33,C-7,1p
C,34,239,1738,34,C-8,1p
C,35,239,1740,35,C-9,1p
C,36,239,1742,36,C-10,1p
C,37,239,1744,37,C-11,1p
C,38,239,1746,38,C-12,1p
C,39,239,1748,39,C-13,1p
C,40,239,1750,40,C-14,1p
D,41,239,1752,41,D-1,1p
D,42,239,1754,42,D-2,1p
D,42,239,1755,42,D-2,1p
D,43,239,1757,43,D-3,1p
D,44,239,1759,44,D-4,1p
D,45,239,1761,45,D-5,1p
D,46,239,1763,46,D-6,1p
D,47,239,1765,47,D-7,1p
D,48,239,1767,48,D-8,1p
D,49,239,1769,49,D-9,1p
D,50,239,1771,50,D-10,1p
D,51,239,1773,51,D-11,1p
D,52,239,1775,52,D-12,1p
E,53,239,1777,53,E-1,1p
E,54,239,1779,54,E-2,1p
E,55,239,1781,55,E-3,1p
E,56,239,1783,56,E-4,1p
E,57,239,1785,57,E-5,1p
E,57,239,1786,57,E-5,1p
E,58,239,1788,58,E-6,1p
E,59,239,1790,59,E-7,1p
E,60,239,1792,60,E-8,1p
A,1,503,1669,1,A-1,2p
A,2,503,1671,2,A-2,2p
A,3,503,1673,3,A-3,2p
A,4,503,1675,4,A-4,2p
A,5,503,1677,5,A-5,2p
A,6,503,1679,6,A-6,2p
A,7,503,1681,7,A-7,2p
A,8,503,1683,8,A-8,2p
A,9,503,1685,9,A-9,2p
A,9,503,1686,9,A-9,2p
B,10,503,1687,10,B-1,2p
B,10,503,1688,10,B-1,2p
B,11,503,1689,11,B-2,2p
B,11,503,1690,11,B-2,2p
B,12,503,1691,12,B-3,2p
B,12,503,1692,12,B-3,2p
B,13,503,1694,13,B-4,2p
B,14,503,1696,14,B-5,2p
B,15,503,1698,15,B-6,2p
B,16,503,1700,16,B-7,2p
B,17,503,1702,17,B-8,2p
B,18,503,1704,18,B-9,2p
B,19,503,1706,19,B-10,2p
B,20,503,1708,20,B-11,2p
B,21,503,1710,21,B-12,2p
B,22,503,1712,22,B-13,2p
B,23,503,1714,23,B-14,2p
C,24,503,1716,24,C-1,2p
